"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Heinola","Total","Total","Immigration to Finland",40,67,62,16,35,19,23,42,49,33,58,28,39,44,54,50,63,37,48,36,67,56,57,63,52,51,114,104,132,92,82,59,87,115,107
"Heinola","Total","Total","Emigration from Finland",15,28,10,25,14,13,11,38,16,25,24,33,20,25,24,16,22,22,17,26,25,25,24,25,25,29,33,37,29,18,36,26,25,19,38
"Heinola","Total","Total","Net migration",25,39,52,-9,21,6,12,4,33,8,34,-5,19,19,30,34,41,15,31,10,42,31,33,38,27,22,81,67,103,74,46,33,62,96,69
"Heinävesi","Total","Total","Immigration to Finland",3,9,4,7,5,13,1,0,1,4,1,9,9,7,8,3,9,4,10,7,0,12,7,16,19,5,5,32,1,14,5,14,20,38,23
"Heinävesi","Total","Total","Emigration from Finland",0,2,1,0,1,0,1,3,2,0,6,4,1,4,3,7,1,5,2,3,4,8,3,6,6,4,2,6,7,5,3,0,1,2,2
"Heinävesi","Total","Total","Net migration",3,7,3,7,4,13,0,-3,-1,4,-5,5,8,3,5,-4,8,-1,8,4,-4,4,4,10,13,1,3,26,-6,9,2,14,19,36,21
"Helsinki","Total","Total","Immigration to Finland",2683,4197,3645,3868,3334,3088,3129,3219,3133,3123,4042,4171,4015,4151,4227,4897,5452,6630,7538,6578,5703,6978,7032,6890,7430,6697,7224,7140,7311,7663,7281,7964,10910,12527,10339
"Helsinki","Total","Total","Emigration from Finland",1118,997,1169,1285,1841,1762,3061,2099,2123,2404,3487,2971,3292,2730,3672,2919,2963,3195,4083,3117,3171,3190,3289,4105,4647,4714,5407,5049,6010,4746,4353,3757,4511,4300,4901
"Helsinki","Total","Total","Net migration",1565,3200,2476,2583,1493,1326,68,1120,1010,719,555,1200,723,1421,555,1978,2489,3435,3455,3461,2532,3788,3743,2785,2783,1983,1817,2091,1301,2917,2928,4207,6399,8227,5438
"Hirvensalmi","Total","Total","Immigration to Finland",1,7,3,1,4,1,8,2,8,2,0,6,2,2,4,3,1,0,7,0,1,1,29,1,14,15,14,9,2,12,19,0,13,37,5
